번호,운영기관명,상품명,운영기관구분,상품구분,학자금유형구분,문의처,대학구분,학년구분,학과구분,성적기준,소득기준,지원금액,특정자격,지역거주여부,신청기간,선발방법,선발인원,자격제한,추천필요여부,제출서류
"1,402",(재)화강문화재단,장학생,민간(기타),장학금,지역연고,070-8252-7291,"4년제(5~6년제포함),일반대학원","대학2학기,대학3학기,대학4학기,대학5학기,대학6학기,대학7학기,대학8학기이상,대학신입생,박사과정,석사2학기이상,석사신입생(1학기)","공학계열,교육계열,사회계열,예체능계열,의약계열,인문계열,자연계열,제한없음",,, - 1000000원,, - 호남에 연고를 두고 있는 대학(원)생, - 2018-10-10~2018-10-22,,, - 본 재단 이외의 외부 장학금 중복 수여자 제외 - 부도덕한 행위로 인한 형사처벌을 받은 자 - 허위로 자격조건을 갖춘 자,, - 장학금 신청서 - 재학증명서 - 등록금 고지서 사본
"1,403",한국선원복지고용센터,선원가족장학사업,민간(기타),장학금,기타, - 복지사업부 051-996-3647,"4년제(5~6년제포함),전문대(2~3년제)","대학2학기,대학3학기,대학4학기,대학5학기,대학6학기,대학7학기,대학8학기이상,대학신입생","공학계열,교육계열,사회계열,예체능계열,의약계열,인문계열,자연계열,제한없음", - 직전학기 평점 2.5이상 (신입생 성적기준 제외)  * 단 1회에 한하여 2.0 이상 가능," - 월 4,685,000원 미만(2018년도 선원월평균임금 기준)  *다자녀 가구의 경구 자녀(고등,대학생)가 2인 이상일 경우 기준금액에 10%씩 적용"," - 본인 부담액 기준 최대 3,000,000원"," - (대상) 선원법 제3조 적용선박에 승선중인 선원가족(단, 선원이 손자/손녀를 직접 부양할 경우에도 포함) - (승무경력) 3년 이상",, - 2020-03-09 ~ 2020-04-10," * 선발 우선순위 - 순직선원 - 장해선원 - 신규신청 선원 - 20년 이상의 장기승선 선원 - 다자녀가정의 셋째이상 선원자녀 - 기초수급자 선원가족 - 차상위계층 선원가족 - 한부모가정 선원가족 - 그 밖의 선원가족 * 동일순위인 경우 선발횟수, 월평균급여, 승선경력, 학년이 높은 순으로 선발", - 108명," - 학비(수업료)를 면제 받는 경우 - 해당 학기 등록금 범위를 초과하여 사내 학자금 및 타 기관 장학금을 지원 받는 경우  - 선원법(제3조) 적용 제외 선박 - 선박소유자  - 관공선, 국가기관 혹은 지방자치단체 등에서 보조금을 지원받는 비영리법인 소유선박 등의 선원(단, 선원관리업체를 통해 위탁(용역)계약으로 승선중인 선원은 제외 ",," - 소정양식(우리센터 홈페이지에서 다운로드 가능) 각 1부 : 장학생 선발신청서(학생용, 사업장확인용 총 2개), 개인정보 수집.이용 및 제공 동의서, 서약서 - 월 평균급여증명서류 1부  :2019년도 원천징수영수증,소득금액증명원 - 승무경력증명서(연근해어선 부원에 한함) - 가족관계증명서 - 재학증명서 - 등록금 납부 내역서 또는 등록금 고지서 - 성적증명서 - 기타서류  : 순직사실확인서류, 장해등급증명서류, 기초수급자증명서 or 차상위계층증명서 or 한부모가족증명서 "
"1,404",재단법인 아이엠엠희망재단,IMM장학생,민간(기타),장학금,기타, - 02-880-6908,특정대학,"대학2학기,대학3학기,대학4학기,대학5학기,대학6학기,대학7학기,대학8학기이상",특정학과,,," - 1,000,000원",※ 가능한 아래 요건 충족 희망 - 서울대학교 경영대학 학생 - 지방출신 - 성적 우수자 - 가정형편이 어려운 학생 - 결손가정의 학생 (편부모 자녀), - 지방출신, - 2020-02-17 ~ 2020-02-19  17:00,, - 2명, - 타 장학금 수혜자 제외,," * 학교 추천 방식으로, 신청시 각 학교 장학부서에 문의 필수.  - 신청서  - 성적증명서(신입생은 고등학교 생활기록부로 대체) - 가족관계증명서 - 부/모 소득금액증명(각1부) - 소득이 없을 시 사실증명으로 대체 - 통장사본 (본인 명의)"
"1,405",동원그룹리더십장학재단,동원장학생,민간(기업),장학금,기타, - 서울 학생지원팀 02) 2173-2136,특정대학,"대학3학기,대학4학기,대학5학기,대학6학기,대학7학기","공학계열,교육계열,사회계열,예체능계열,의약계열,인문계열,자연계열,제한없음"," - 직전학기 취득학점 14학점 이상, 평점평균 3.5이상 (계절학기 포함가능)",," - 학기당 2,500,000원 * 장학금 계속 지급 조건 : 장학생으로 선발된 자가 결격사유(성적미달, 징계 등)에 해당하지 않을 경우에는 8학기까지 계속하여 지급함 * 생활비 장학금으로 등록금 범위 초과 수혜 가능"," - 2020-1 학기 기준, 3학기이상 7학기 이하 재학중인 학생 - 국가 및 사회발전에 공헌가능성이 크다고 인정된 자 - 품행이 단정하고 도전과 창조의 정신을 지닌 자 - 생활비 지급이므로 다른 장학금 수혜자 지원 가능",, - 2020-04-22 ~ 2020-05-06, - 서류심사 - 면접심사, - 3명," - 9학기 이상 등록자 - 기존 장학생 중 성적이 미달될 경우, 1회 경고후 구제하며 2회이상일 경우 장학생 자격 상실 - 학교의 징계를 받은자 - 휴학의 경우 해당학기에 대해서만 지급을 중지하고, 학과로 복학할경우 다시 자격 부여 - 서울(터키·아제르바이잔과·중국언어문화전공)/글로벌(한국학과)는 선발 제외",, - 장학생지원서 - 추천서 - 성적증명서 원본    - 교내외 봉사활동 및 입상경력 증빙서류 일체 - 개인정보이용동의서 * 제출처 - 서울캠퍼스 : 학생지원팀(국제학사 101호) * 교내장학금으로 관련부서에 연락 후 신청
"1,406",(재)정인욱학술장학재단,성적장학금,민간(기업),장학금,지역연고, - 연천군 평생학습센터 교육청소년팀 : 031-839-4436 - (주)NRC : 031-832-9530,"4년제(5~6년제포함),일반대학원,전문대(2~3년제)","대학2학기,대학3학기,대학4학기,대학5학기,대학6학기,대학7학기,대학8학기이상,박사과정,석사2학기이상","공학계열,교육계열,사회계열,예체능계열,의약계열,인문계열,자연계열,제한없음",  - 全학년 평점평균 백분위 환산점수 85점 이상(3.5 이상),,, - 2년제이상 대학/대학원생, - 공고일 현재 연천군 내 주소를 두고 1년 이상 거주하고 있는 세대, - 2019. 07. 29 ~ 2019. 08. 07,,," - 재단 장학금 외 타 기관/단체에서 장학금 수혜 사실(예정포함)이 있는 사람 - 소속 학교에서 퇴학, 휴학 및 징계처분을 받은 사람 - 군입대, 질병, 기타 사유로 장기간 학업을 계속할 수 없는 사람",," - 성적증명서  1 부(평점평균 및 백분위 환산점수가 표기된 全학년 성적표) - 추천서(학교장, 대학 총/학장)  1 부 - 장학금지급원서(양식참조) 1부 - 환경조사서(양식참조) 1부 - 서약서(양식참조) 1부 - 영수증(양식참조) 1부 - 개인정보 처리 동의서(학생, 보호자) 1부 - 재학증명서 1부 - 입금계좌사본 1부 - 주민등록등본 1부"
"1,407",(재)정인욱학술장학재단,특별장학금,민간(기업),장학금,지역연고, - 연천군 평생학습센터 교육청소년팀 : 031-839-4436 - (주)NRC : 031-832-9530,"4년제(5~6년제포함),일반대학원,전문대(2~3년제)","대학2학기,대학3학기,대학4학기,대학5학기,대학6학기,대학7학기,대학8학기이상,박사과정,석사2학기이상","공학계열,교육계열,사회계열,예체능계열,의약계열,인문계열,자연계열,제한없음",,,," - 2년제이상 대학/대학원생 - 학업 성적은 미달되지만 주위 사람들로부터 품행, 효행, 봉사에 대한 칭찬을 받고 마을 이장이나 학교장(대학총/학장)의 추천을 받은 경우", - 공고일 현재 연천군 내 주소를 두고 1년 이상 거주하고 있는 세대, - 2019. 07. 29 ~ 2019. 08. 07,,," - 재단 장학금 외 타 기관/단체에서 장학금 수혜 사실(예정포함)이 있는 사람 - 소속 학교에서 퇴학, 휴학 및 징계처분을 받은 사람 - 군입대, 질병, 기타 사유로 장기간 학업을 계속할 수 없는 사람",," - 성적증명서  1 부(평점평균 및 백분위 환산점수가 표기된 全학년 성적표) - 추천서  1 부 - 장학금지급원서(양식참조) 1부 - 환경조사서(양식참조) 1부 - 서약서(양식참조) 1부 - 영수증(양식참조) 1부 - 개인정보 처리 동의서(학생, 보호자) 1부 - 재학증명서 1부 - 입금계좌사본 1부 - 주민등록등본 1부"
"1,408",재단법인 경북대학교장학회,글로벌100진학장학금,대학교,장학금,기타, - 053-950-6061,해외대학,석사신입생(1학기),"공학계열,교육계열,사회계열,예체능계열,의약계열,인문계열,자연계열,제한없음",,," - 1인당 2,000,000원"," - 2016학년도 5월 이후 졸업한 경북대학교 학부 졸업(예정)생으로서 세계 100위 이내 대학의 대학원 진학한 자(국내 대학 제외) - 상하이교통대학, The Times지, Newsweek지에서 발표하는 대학 순위에 한 곳이라도 100위 안에 해당하는 대학",, - 2020-02-06 ~ 2020-09-18,,," - 단, 도전장학생(2013학번 입학자까지) 및 글로벌인재학부 인재육성장학생은 제외",,"* 신청시 학교 장학 공고 확인 필수. - 추천서 - 입학 입증 서류(재학증명서, 입학허가 서류 등) - 통장사본"
"1,409",재단법인 경북대학교장학회,KNU국가고시장학금,대학교,장학금,기타, - 053-950-6607,특정대학,"대학2학기,대학3학기,대학4학기,대학5학기,대학6학기,대학7학기,대학8학기이상","공학계열,교육계열,사회계열,예체능계열,의약계열,인문계열,자연계열,제한없음",,," - 1회째 1,100,000원 - 2회째 500,000원"," - 학부 재적생으로 2020년도 5급시험(행정,입법,기술,지방), 외교관 후보자, 공인회계사, 변리사 1차 합격자",, - 2020-05-12 ~ 2020-05-29 공인회계사 ~ 2020-06-30 5급 및 외교관 후보자 ~ 2020-08-14 변리사,,,,, * 교내장학금으로 학교 홈페이지 공고참고 필수 - 장학금 신청서 - 1차 합격 입증서류(합격통지서) - 통장사본
"1,410",재단법인 경북대학교장학회,KNU영어우수장학금,대학교,장학금,기타, - 국제교류처 053) 950- 2414,특정대학,"대학2학기,대학3학기,대학4학기,대학5학기,대학6학기,대학7학기,대학8학기이상,대학신입생","공학계열,교육계열,사회계열,예체능계열,의약계열,인문계열,자연계열,제한없음", - 2018. 09. 01 ~ 2019. 01. 30까지 TOEFL(iBT) 80점 이상 취득한 학생,, - 1인당 20만원 (2월말 일괄지급), - 경북대학교 재학생 및 휴학생 - 2018. 09. 01 ~ 2019. 01. 30까지 TOEFL(iBT) 80점 이상 취득한 학생,, - 2019. 01. 28(월) ~ 02. 15(금),, - 150명,,, * 신청시 학교 장학 공고 확인 필수 - 신청서 및 성적표 스캔본을 이메일로 제출
"1,411",재단법인 경북대학교장학회,KNU학업지원장학금,대학교,장학금,기타, - wjdaudwlsa@knu.ac.kr (본인 성명과 연락처 기재 요망),특정대학,"대학3학기,대학4학기,대학5학기,대학6학기,대학7학기,대학8학기이상","공학계열,교육계열,사회계열,예체능계열,의약계열,인문계열,자연계열,제한없음"," - 직전학기 : 12학점이상 이수, 평점평균 3.7(A-)이상 (F학점 포함) - 전체학기 : 평점평균 3.7(A-) 이상(F학점 포함)", - 기초생활수급자∼소득 1분위 이내 해당자," - 학업장려비 1인당 1,000,000원", - 현재 학부 2학년 이상 재학생중 소득 및 성적기준 충족자,, - 2020-05-25 ~ 2020-06-03 18:00까지, - 서류심사, - 30명 이내," - 수업년한 초과자 및 휴학자 - 징계처분을 받은 경우 및 기타 부적격자로 인정된 경우 - 교내·외 단체 등에서 학업지원 장학금(생활비, 교재비 등) 100만원 이상 지원받는 경우",,"* 신청시 학교 장학 공고 확인 필수. - 장학금 지원 신청서 1부(지정 서식) - 자기소개서 1부(지정 서식) - 통장 사본(본인) 1부  - 공인 외국어(영어) 성적표 1부 (해당자에 한함) - 교내·외 주요 수상실적(봉사실적, 외국어 성적, 수상실적) 각 1부 (해당자에 한함) "
"1,412",수성인재육성장학재단,수성인재장학생(성적우수),지자체,장학금,지역연고, - 수성인재육성장학재단 사무국 053-666-4221,"4년제(5~6년제포함),전문대(2~3년제)","대학2학기,대학3학기,대학4학기,대학5학기,대학6학기,대학7학기,대학8학기이상","공학계열,교육계열,사회계열,예체능계열,의약계열,인문계열,자연계열,제한없음"," - 학기당 12학점 이상 이수자(계절학기 미 포함) - D학점 이하의 학점이 있는 자는 신청 자격 없음 - 1학년 : 직전학기 성적 100점 만점 평균 90점 이상 - 재학생 : 2018년 2학기, 2019년 1학기 100점 만점 평균 90점 이상", - 소득분위 8분위 이내(소득분위 보유필수), - 등록금 범위 내2000000원, - 국내대학 재학생, - 공고일 현재 본인 또는 부모가 수성구에 1년 이상 거주하고 있는 대구시내 소재 국내대학 재학생(2017. 09. 17부터 계속 거주), - 2019-10-02~2019-10-16," - 자원봉사 실적에 대한 가점제 실시 - 다자녀, 다문화, 장애인 가구에게 가점(3점)",, - 등록금 범위 내에서 타 장학금과 이중수혜 가능 - 2018년 수성인재 장학생 - 2019년 휴학생 및 2학기 복학생 - 공고일 직전 1년간 징계/형사처분 받은 경우, - 대학 (총)장," * 장학재단 홈페이지로 제출&문의 - 장학금 지원 신청서(온라인 신청 출력 날인 후 제출) - 장학생 추천서(소속학교장(추천권자) 작성 밀봉후 제출) - 신청인 서약서 - 장학금 비수혜(수혜)확인서 - 개인정보수집/이용/제공 및 조회동의서 - 주민등록 등본 또는 초본 (최근 5년간 주소변동사항 기재) - 통장사본(장학금 지원 신청서에 기재한 계좌) - 성적증명서(평균성적 백분율 표기, 전과목표기) - 재학증명서 - 등록금 납입영수증(2019-2학기) - 소득분위 확인서 * 가점서류는 첨부파일 참고"
"1,413",경상북도 의성군청,예체능특기자장학금,지자체,장학금,특기자, - 054-830-6292,"4년제(5~6년제포함),전문대(2~3년제)","대학2학기,대학3학기,대학4학기,대학5학기,대학6학기,대학7학기,대학8학기이상,대학신입생,연령제한,제한없음",예체능계열,,,"1위 : 2,500,000원2위 : 2,000,000원3위 : 1,500,000원", - 2019년도 예체능 분야 전국대회 입상자※ 전국대회 규모 의성군인재육성재단 자체 심의에 의거 제외 가능, - 관내 고등학교를 졸업한 대학생, - 2019-11-25 ~ 2019-12-04,, - 5명, - 장학생 신청서 내용과 첨부서류를 허위로 작성하여 제출하였을 경우 - 장학금 신청 후 군입대 또는 휴학하는 경우 - 기타 이사장이 장학금의 지급을 정지할 필요가 있다고 인정할 경우,," - 고등학교 졸업증명서 - 대학교 재학 증명서 - 주민등록등본 - 가족관계증명서(부 모, 자녀 주소지 다를 경우)*신청서 배부 및 접수처 : 의성군청 홈페이지 공지사항에서 신청서 배부, 군청 총무과로 방문 또는 등기우편접수※ 접수처: 의성군 의성읍 군청길 31 총무과 평생교육계"
"1,414",경상북도 의성군청,저소득특별장학금,지자체,장학금,지역연고, - 054) 830-6292,"4년제(5~6년제포함),전문대(2~3년제)","대학2학기,대학3학기,대학4학기,대학5학기,대학6학기,대학7학기,대학8학기이상,대학신입생","공학계열,교육계열,사회계열,예체능계열,의약계열,인문계열,자연계열,제한없음", - 직전학기 성적 3.0 이상인 자 * 신입새으이 경우 고등학교 1학기 성적," - 기초생활수급자, 차상위계층, 조손가정, 다문화가정 자녀", - 기초생활수급자: 200만원 - 차상위 등 : 150만원,, - 관내 고등학교를 졸업하고 대학교에 재학 중인 자, - 2019. 03. 13(수) ~ 03. 20(수),, - 기초생활수급자: 10명 - 차상위 등 : 10명, - 장학생 신청서 내용과 첨부서류를 허위로 작성하여 제출하였을 경우 - 장학생이 퇴학하였거나 정학 이상의 징계 처분을 받았을 때  - 기타 이사장이 장학금의 지급을 정지할 필요가 있다고 인정할 경우,," - 장학생 지원신청서 - 장학금 지급신청서 - 개인정보제공 동의서 - 각서 - 주민등록등본, 저소득 또는 다문화증명서류(부/모 자녀 주소지 다를 경우 가족관계증명서 추가 제출) - 읍면장 추천서 - 대학교 재학증명서 - 고등학교 졸업증명서 - 직전학기 성적증명서(단, 신입생 제외) * 자세한 사항은 첨부파일 또는 홈페이지 공지사항 참고"
"1,415",경상북도 의성군청,이장자녀장학금,지자체,장학금,지역연고, - 054)830-6292,"4년제(5~6년제포함),전문대(2~3년제)","대학2학기,대학3학기,대학4학기,대학5학기,대학6학기,대학7학기,대학8학기이상,대학신입생","공학계열,교육계열,사회계열,예체능계열,의약계열,인문계열,자연계열,제한없음", - 직전학기 성적이 평균 B이상인 자,," - 2,000,000원", - 의성군 현직 이장 재직경력 1년(2019.11.20)이상인 자의 자녀, - 관내 중·고등학교를 졸업하고 대학교에 재학중인 자, - 2019-11-25 ~ 2019-12-04,, - 15명, - 2019년 기 수혜자 - 장학생 신청서 내용과 첨부서류를 허위로 작성하여 제출하였을 경우 - 장학생이 퇴학하였거나 정학 이상의 징계 처분을 받았을 때  - 기타 이사장이 장학금의 지급을 정지할 필요가 있다고 인정할 경우,읍면장 추천," - 장학생 지원신청서, 각서  - 장학금 지급신청서  - 개인정보제공동의서 - 읍·면장 추천서 - 중·고등학교 졸업증명서 - 주민등록등본 - 가족관계증명서(부·모, 자녀 주소지가 다를 경우) - 대학교 재학증명서 - 직전학기 성적증명서 - 등록금 납입증명서"
"1,416",재단법인 안산인재육성재단,안산꿈키움장학생(우수장학생),지자체,장학금,지역연고, - 안산인재육성재단 (031-414-0924) ,"4년제(5~6년제포함),전문대(2~3년제)",대학신입생,"공학계열,교육계열,사회계열,예체능계열,의약계열,인문계열,자연계열,제한없음", - 수학능력시험 고득점자 순 또는 직전 학년 교과목 전체 평균이 85점 이상인 자 (수시입학자 포함),, - 1개 학기 등록금(200만원 한도 내 지급), - 국내소재 대학교 1학년생, - 공고일 현재 본인이 계속하여 1년이상 안산시에 주소를 두고 거주 -  공고일 현재 부/모가 계속하여 3년이상 안산시에 주소를 두고 거주, - 2020-04-20 ~ 2020-04-24,, - 234명," - 대학생중 타장학금 수혜시 등록금 범위내에서 장학금 지급 가능 - 원격대학 및 온라인강의, 교환학생, 휴학생은 제외 - 시 관외로 이주한 경우(1개월 내에 시 관내로 돌아온 경우 제외) - 퇴학/정학/휴학처분을 받거나 자퇴, 군입대, 건강장애 등 기타 사유로 학업을 중단하거나 계속할 수 없을 경우 ", * 대학 신입생 경우 - 일반: 출신고등학교 장 - 검정고시: 주소지 관할 동장   * 개별신청의 경우 졸업한 학교장 추천 절차 생략 ," - 장학생 추천서(추천신청일 경우), 장학생 신청서(대학신입생 중 개별신청자의 경우) - 주민등록 초본(본인의 출생등록 이후 주소변동이력 포함) - 개인신용정보등의 제공, 활용 동의서 - 2020학년도 수학능력시험 성적표(수능을 본 경우), 고등학교 생활기록부 사본(수능을 안본 경우) - 재학증명서(공고일 이후 발급) - 등록금 고지서 또는 납부확인서 * 자세한 사항음 첨부파일 참고"
"1,417",재단법인 안산인재육성재단,안산꿈키움장학생(희망장학생),지자체,장학금,지역연고, - 안산인재육성재단 (031-414-0924) ,"4년제(5~6년제포함),전문대(2~3년제)","대학2학기,대학3학기,대학4학기,대학5학기,대학6학기,대학7학기,대학8학기이상,대학신입생","공학계열,교육계열,사회계열,예체능계열,의약계열,인문계열,자연계열,제한없음"," - 대학 1학년 : 저소득층 학생중 대학수학능력평가 결과 50%이상    득점자 또는 직전 학년 교과목 전체 평균이 50점 이상인 자 - 대학 2학년 이상: 저소득층 학생중 직전학기 백분율 환산점수가 70점 이상, 최소 12학점 이상 이수"," - 저소득층 학생(기초생활수급자, 한부모가족, 차상위계층)", - 1개 학기 등록금(200만원 한도), - 국내소재 대학교(전문대 포함) 재학생, - 공고일 현재 본인이 계속하여 1년이상 안산시에 주소를 두고 거주 - 공고일 현재 부/모가 계속하여 3년이상 안산시에 주소를 두고 거주, - 2020-04-20 ~ 2020-04-24,,,," * 추천신청 : 신입생(출신고등학교장), 검정고시(주소지관할동장), 2학년이상(대학총장) * 개별신청 : 신청접수"," - 장학생 추천서(추천신청일 경우), 장학생 신청서(대학신입생 중 개별신청자의 경우) - 주민등록 초본(본인의 출생등록 이후 주소변동이력 포함) - 개인신용정보등의 제공, 활용 동의서 - 1학년 : 2020학년도 수학능력시험 성적표(수능을 본 경우), 고등학교 생활기록부 사본(수능을 안본 경우) / 2학년이상 : 성적증명서(백분율 환산점수 표기하여 발급) - 재학증명서(공고일 이후 발급)  - 등록금 고지서 또는 납부확인서 - 수급자증명서, 한부모가족증명서, 차상위증명서 중 1 (해당자, 공고일 이후 발급) * 방문 및 등기우편안산시 상록구 차돌배기로 24-1, 안산시평생학습관  배움숲 5층, 안산인재육성재단 사무국(사동 1586)"
"1,418",재단법인 안산인재육성재단,산업체근로자교육위탁장학생,지자체,장학금,지역연고," -  안산인재육성재단 (070-4400-8579, 031-414-0924) ",특정대학,대학신입생,"교육계열,사회계열,인문계열,제한없음",,," - 선발시부터 졸업시까지 수업료의 70% 지급(재단 50%, 대학 20%)", - 고등학교 졸업자(예정자 포함) 또는 이와 동등한 학력이 인정되는 사람 - 안산시 관내 산업체에 6개월 이상 근무하고 있는 사람 - 위탁대학의 위탁체결학과에 산업체위탁전형으로 등록한 1학년 신입생 **자세한 사항은 첨부자료 확인필, - 공고일 현재 안산시에 6개월 이상 계속하여 주소를 두고 거주하는 사람, - 2019. 03. 18(월) ~ 03. 22(금), - 추천기관(위탁대학장)의 추천," - 60명(신입생 41명, 기존장학생 19명)"," - 시 관외로 이주한 경우(1개월 내에 시 관내로 돌아온 경우 제외) - 퇴학,정학,휴학처분을 받거나 자퇴하거나, 군입대, 건강장애 등 기타 사유로 학업을 중단하거나 또는 계속할 수 없을 경우 - 산업체에서 퇴사한 경우(관내 타 기업체로 3개월 이내에 이직한 경우 제외)"," - 학교 추천 방식으로, 신청시 각 학교 장학부서에 문의 필수","* 학교 추천 방식으로, 신청시 각 학교 장학부서에 문의 필수 * 공통서류 - 재직증명서(사업장 주소지 명시) - 주민등록 초본(본인의 출생등록 이후 주소변동이력 포함) - 서약서 * 신규 장학생 추가 서류 - 장학생 신청서 - 고교 생활기록부(또는 검정고시 성적표) - 2018년도 건강보험료 납부확인서(본인) * 기존 장학생 추가 서류 - 장학금 지급대상자 확인서  * 자세한 사항은 첨부파일 참고고"
"1,419",재단법인 안산인재육성재단,지역대학진학장학생,지자체,장학금,지역연고, - 안산인재육성재단 070-4400-8579,"4년제(5~6년제포함),전문대(2~3년제)","대학2학기,대학4학기,대학5학기,대학6학기,대학7학기,대학8학기이상,대학신입생","공학계열,교육계열,사회계열,예체능계열,의약계열,인문계열,자연계열,제한없음"," - 1학년 : 대학수학능력평가 결과 60%이상 득점자 또는 직전학년 교과목 전체 평균이 60점 이상인자(수시입학자 포함) - 2학년 이상 : 직전학기 백분율 환삼점수가 80점이상, 최소12학점 이상 이수수",," - 대학생 2,000,000원 한도", - 안산시 관내대학교에 진학한 신입생 및 재학생," - 공고일 현재 부모 또는 본인이 계속하여 1년이상 안산시에 주소를 두고 거주하며, 관내 대학교에 진학한 신입생 및 재학생", - 2020-03-04 ~ 2020-04-24,, - 관내대학생 50명," - 원격대학 및 온라인강의, 교환학생, 휴학생 제외", - 대학교(총)장, - 장학생 추천서 - 학생본인 주민등록 초본(주소이력 5년 포함)  - 개인정보 및 영상정보 수집/이용 동의서 - 1학년 : 2020학년도 수학능력시험 성적표 - 2학년 이상 : 대학교성적증명서(백분율 환산된 성적증명서 발급) - 대학교 재학증명서 - 등록금 납부확인서 * 추천권자가 추천공문과 함께 구비서류 일괄제출 * 자세한 사항은 첨부파일 또는 홈페이지 공지사항 참고
"1,420",재단법인 안산인재육성재단,대학생 본인부담 등록금 반값 지원,지자체,장학금,지역연고, - 031-414-0924,"4년제(5~6년제포함),기술대학,원격대학,전문대(2~3년제)","대학2학기,대학3학기,대학4학기,대학5학기,대학6학기,대학7학기,대학8학기이상,연령제한,제한없음","공학계열,교육계열,사회계열,예체능계열,의약계열,인문계열,자연계열,제한없음"," - 재학생 : 직전학기 12학점 이상 이수하여 백분율 60점 이상(D학점 이상) - 장애인학생 : 성적기준 미적용 - 신입생, 편입생, 재입학생 : 첫 학기에 한하여 성적기준 미적용", - 국민기초생활수급자 - 장애인 학생 - 다자녀가정 셋째 이상 학생," - (해당 학기 등록금 납부액 - 장학금, 학자금 등 지원액) X 50% ※ 학기별 100만원 한도, 등록금만 해당", - 29세 이하 대학생 중 지역거주여부를 만족하는 한국장학재단 국가장학금 지원대학에 재학중인 대학생, - 대학생과 가구원 1인 이상이 함께 공고일 및 지원일 현재 안산시에 주소를 두고 3년 이상 계속 거주 또는 합산 10년 이상 거주, - 2020-02-24 ~ 2020-05-29 (1차) 2020-02-24 ~ 2020-03-06 (2차) 2020-03-09 ~ 2020-05-29,,, - 자퇴 또는 퇴학 등의 이유로 학업을 중지한 경우 - 지원일 기준 안산시에 주민등록이 되어 있지 않은 경우 - 반값 지원금과 중복되는 학자금을 지원받은 경우,," - 한국장학재단의 장학금 신청증명서 - 학자금 지원구간 통지서 - 본인부담 등록금 반값 지원서 - 학자금 지급 확인서 - 가족관계증명서 (부 또는 모) - 주민등록 등본·초본 - 재학증명서, 등록금 납입증명서, 직전학기 성적증명서 - 건강보험 자격득실 확인서 - 대상 학생 또는 보호자의 통장사본 - 국민기초생활수급자증명서(해당자) - 장애인증명서(해당자) * 자세한 사항은 공고참고 필수"
"1,421",대덕전자,김정식특지장학생,민간(기타),장학금,기타, - 02-880-1531,특정대학,"대학3학기,대학4학기,대학5학기,대학6학기,대학7학기,대학8학기이상","공학계열,특정학과",, - 가계곤란자 우선선발," - 등록금 전액 * 단, 교/내외 등록금 전액 장학금 수혜자 제외(등록금 중복수혜 금지)"," - 2020-1학기 기준 서울대 전기정보공학부 2~4학년 등록예정자 - 2019-2학기 온라인 수강지도를 받은 자(센터에서 확인), 지도교수 정기 면담자 선발 시 우대",, - 2019-12-09 ~ 2020-01-09," - 가계, 성적 배분 반영하여 선발", - 8명 내외," - 휴학자, 전/컴군 전공 미진입생 및 규정학기 초과자 제외", - 지도교수의 추천," - 장학생 지원서, 자기소개서, 추천서 - 건강보험료 납부확인서(2019년도 1년간) - 본인, 부/모 각각의 지방세 세목별 납세증명서(2018년도 1년간) - 의료급여수급권자의 경우 증명서 * 교내장학금으로, 자세한 사항은 서울대학교 게시판 참고"
"1,422",한국전력공사,장학생,관계부처,장학금,성적우수," * 공사에서 추천하는 학교에 해당하지 않는 학교의 재학생은 신청이불가함으로, 각 학교장학부서에 문의",4년제(5~6년제포함),"대학6학기,대학7학기,연령제한,제한없음","공학계열,특정학과", - 직전학기까지 평균 평점 B학점 이상,," - 수업료 3,500,000원 및 학업보조비 500,000원 (1년지급)"," - 전기공학전공 학부 4학년  - 기초수급대상자, 차상위계층 ,농어촌 출신 우대 ",," - 2020-02-06 ~ 2020-02-10 * 학교추천장학이므로, 각 학교마다 기간이 다를 수 있음"," - 학업성적, 생활환경, 사회공헌활동 등 종합평가", - 4명,,, - 전기공학전공 확인 및 장학금 추천서 - 장학금 지원 신청서 - 자기소개서 - 개인정보 수집 이용 / 제공 동의서 - 전 학년 성적증명서 (학부 : 3학년 2학기까지) - 기타서류 (해당자만) : 관련항목이 있는 경우 관련증빙 서류 제출
"1,423",알프리장학회,알프리및고영테크놀러지장학생,민간(기타),장학금,기타, - 서울대학교 장학팀에 문의,특정대학,"대학5학기,대학6학기,대학7학기,대학8학기이상","공학계열,특정학과", - 성적우수자 우대,," - 학기당 2,500,000원(1년 지급) * 교/내외 등록금 전액 장학금과 이중수혜 가능(*휴학 시 장학금 지급 중지)"," - 서울대학교 전기/정보공학부 3~4학년 중 2020-1,2학기 등록예정자 - 지도교수의 추천을 받은자 - 졸업 후 이공계 분야 진학 예정 자 - 2019-2학기 수강신청 승인을 받은 자 (센터에서 온라인으로 확인) * 2019-2학기 지도교수 정기면담자는 선발시 우대",, - 2019-12-09 ~ 2020-01-09 16:00까지,," - 4명(알프리 2명, 고영테크놀러지 2명)", - 학기초과자 및 외국인 제외,," * 학교 추천 방식으로, 신청시 각 학교 장학부서에 문의 필수.   - 장학생 지원서 - 자기소개서 - 추천서 - 건강보험료 납부확인서(2019년도 1년간) - 본인 부/모 각각의 지방세 세목별 과세 증명서 (2019년도 1년간)"
